"","country","family","friends","leisure","politics","work","religion"
"65","Singapore",1.09253731343284,1.69333996023857,1.84095427435388,2.57665330661323,1.86590229312064,2.09875311720698
"66","Slovakia",1.09357541899441,1.51885474860335,1.55664335664336,2.92156862745098,1.48361252731245,2.29543859649123
"67","Slovenia",1.15434985968195,1.61753731343284,1.70763500931099,3.12488262910798,1.45810055865922,2.78878504672897
"68","South Korea",1.1140562248996,1.62248995983936,1.8433734939759,2.35421686746988,1.7421686746988,2.70200803212851
"69","Spain",1.13327814569536,1.50165562913907,1.61290322580645,2.72245236122618,1.34987593052109,2.71109271523179
"70","Sweden",1.10699241786015,1.37951301427372,1.41799831791421,2.03778337531486,1.51049538203191,2.85534062237174
"71","Switzerland",1.16619002224341,1.53045685279188,1.63186290066646,2.45163336504916,1.60484384958572,2.89263024142313
"72","Taiwan",1.10384300899428,1.69337694194603,1.67375306623058,2.6369582992641,1.51103843008994,2.40392477514309
"73","Tajikistan",1.0425,1.61166666666667,2.1825,2.36166666666667,1.56833333333333,1.475
"74","Thailand",1.12976588628763,1.84983164983165,2.03827751196172,2.31906077348066,1.56330399458362,1.74898236092266
"75","Tunisia",1.03145695364238,1.74295190713101,1.78855721393035,2.73494983277592,1.23789649415693,1.10862354892206
"76","Turkey",1.0923777961889,1.4195688225539,1.5356846473029,2.35394901796908,1.72254575707155,1.52303860523039
"77","Ukraine",1.13954293628809,1.76791927627001,1.83128726762539,2.90805821796237,1.73128061581526,2.34823700472555
"78","United Kingdom",1.10576385002798,1.5,1.61590145576708,2.44325842696629,1.93673012318029,2.72717086834734
