country,population,region,users,family,friends,leisure,politics,work,religion,willingness,petition,boycott,demonstration,strikes,identity,marital,parents,children,household,education,income,weights
France,"68,084,217",Western Europe,1572,1.156768325,1.559549356,1.799785867,2.716586151,1.459634015,2.859913793,1.700455581,1.42949408,2.172961138,1.806677437,2.530891197,4.983892617,3.44772118,1.057815846,1.556149733,2.180032733,4.556092324,4.408175717,0.5347594
Georgia,"4,933,674",Western Asia,152,1.112682482,1.471715328,1.959558824,2.706801471,1.376255708,1.396890718,1.847331787,2.28267183,2.639904988,2.522492971,2.751180359,5.36329588,2.590597901,1.420376319,1.774680073,3.383524027,5.021441606,3.357756443,0.4557885
Germany,"79,903,481",Western Europe,13186,1.130576714,1.482983937,1.686338798,2.216171617,1.727171801,2.764125069,1.520265991,1.443059019,2.307760141,1.891838464,2.628292394,4.757575758,2.677173913,1.127317339,1.470892274,2.519880174,5.101086957,5.124768376,0.540832902
Greece,"10,569,703",Southern Europe,53,1.070833333,1.502923977,1.72278057,2.845766974,1.358090186,1.712614871,1.819148936,2.240101095,2.365517241,2.132478632,2.15969257,5.211238293,2.75,1.115191987,1.309166667,2.409166667,4.2325,4.528745645,0.8333333
Hong Kong,"7,263,234",Southeastern Asia,159,1.237108434,1.751325301,1.837602707,2.570251938,1.907818533,2.838242395,1.515939186,2.134912959,2.41025641,2.190821256,2.512100678,5.573282856,2.868243243,1.42939759,1.030405405,3.154291225,5.017366136,4.777400582,0.4819277
Hungary,"9,728,337",Eastern Europe,268,1.107804233,1.543291474,1.670634921,2.860573716,1.593355482,2.566377585,1.59100958,2.407282535,2.782164738,2.599053414,2.855775803,5.436813187,3.118473896,1.254339119,1.322192513,2.690714763,4.722627737,4.480225989,0.660502
Iceland,"354,234",Northern Europe,1307,1.058605799,1.427777778,1.659640422,2.422360248,1.529411765,2.713842334,1.545753785,1.469021066,1.723602484,1.773713577,2.594645081,5.020735786,2.529813665,1.126315789,2.065594059,2.930434783,5.19390926,5.552851711,0.6157635
Indonesia,"275,122,131",Southeastern Asia,6,1.02375,1.718309859,1.745073506,2.499050032,1.080962801,1.02,1.883669609,2.632422243,2.830919395,2.489770223,2.788449466,5.417727487,1.9759375,1.3630394,2.0678125,4.0503125,3.256642701,4.069475716,0.3125
Iraq,"39,650,145",Western Asia,1,1.0325,1.585976628,1.916177703,2.735042735,1.26293823,1.1675,1.801919721,2.632075472,2.766086957,2.568143101,2.764655172,NA,2.299166667,1.99,2.234166667,5.238333333,3.847953216,4.326513214,0.8333333
Italy,"62,390,364",Southern Europe,267,1.101010101,1.641318681,1.713028169,2.540744021,1.304405286,2.187913542,1.455223881,1.805998126,2.468095238,1.956624234,2.555287301,5.279688514,2.956,1.201060539,1.192358366,2.681654676,4.086130742,4.433270082,0.4391744
